"{' sklearn.decomposition.PCA', 'pandas', ' sklearn.model_selection.TimeSeriesSplit', ' sklearn.model_selection.KFold'}","time variant bettermemory variant betterscore inconsistent","[pandas, scikit-learn]","1080:3, 1080:6, 1080:9, 1080:10, 1080:11, 1080:12, 1080:13, 1080:14","scikit-learn:0.21.3, scikit-learn:0.24.2, scikit-learn:0.20.3, scikit-learn:0.22.1, scikit-learn:0.23.2, scikit-learn:1.0.1",
"{' sklearn.decomposition.PCA', 'pandas', ' sklearn.model_selection.TimeSeriesSplit', ' sklearn.model_selection.KFold'}","memory baseline betterscore inconsistent","[pandas, scikit-learn]","1080:16, 1080:17, 1080:18, 1080:19, 1080:21, 1080:23, 1080:24, 1080:25, 1080:26, 1080:28, 1080:30, 1080:31, 1080:32, 1080:34","scikit-learn:0.20.3, scikit-learn:0.21.3, scikit-learn:0.22.1, scikit-learn:0.23.2, scikit-learn:1.0.1, scikit-learn:0.24.2",
"{' sklearn.decomposition.PCA', 'pandas', ' sklearn.model_selection.TimeSeriesSplit', ' sklearn.model_selection.KFold'}","time variant bettermemory baseline betterscore inconsistent","[pandas, scikit-learn]","1080:20","scikit-learn:0.24.2",
"{' sklearn.decomposition.PCA', 'pandas', ' sklearn.model_selection.TimeSeriesSplit', ' sklearn.model_selection.KFold'}","time baseline bettermemory baseline betterscore inconsistent","[pandas, scikit-learn]","1080:27, 1080:33, 1080:35, 1080:37, 1080:38, 1080:39, 1080:40, 1080:41, 1080:42","scikit-learn:0.24.2, scikit-learn:0.23.2, scikit-learn:1.0.1, scikit-learn:0.20.3, scikit-learn:0.21.3, scikit-learn:0.22.1",
"{' lightgbm.Dataset', ' lightgbm.train', 'sklearn.preprocessing.LabelEncoder'}","time variant bettermemory variant betterscore inconsistent","[lightgbm, scikit-learn]","1097:2, 1097:3, 1097:5, 1097:7, 1097:8, 1097:10, 1097:11, 1097:15, 1097:16, 1097:25, 1097:27, 1097:29, 1097:31, 1097:32","scikit-learn:1.0.1, scikit-learn:0.19.2, scikit-learn:0.21.3, scikit-learn:0.22.1, scikit-learn:0.20.3, scikit-learn:0.24.2",
"{' lightgbm.Dataset', ' lightgbm.train', 'sklearn.preprocessing.LabelEncoder'}","time baseline bettermemory variant betterscore inconsistent","[lightgbm, scikit-learn]","1097:4, 1097:6, 1097:9, 1097:13, 1097:17, 1097:18, 1097:19, 1097:20, 1097:33, 1097:34, 1097:35","scikit-learn:1.0.1, scikit-learn:0.20.3, scikit-learn:0.24.2, scikit-learn:0.21.3, scikit-learn:0.22.1, scikit-learn:0.23.2",
"{' lightgbm.Dataset', ' lightgbm.train', 'sklearn.preprocessing.LabelEncoder'}","memory variant betterscore inconsistent","[lightgbm, scikit-learn]","1097:12, 1097:14, 1097:21, 1097:22, 1097:23, 1097:24, 1097:26, 1097:28, 1097:30","scikit-learn:0.23.2, scikit-learn:1.0.1, scikit-learn:0.19.2, scikit-learn:0.20.3, scikit-learn:0.21.3",
"{' lightgbm.Dataset', ' lightgbm.train', 'sklearn.preprocessing.LabelEncoder'}","time variant bettermemory baseline betterscore inconsistent","[lightgbm, scikit-learn]","1097:36, 1097:37, 1097:43, 1097:46, 1097:47","scikit-learn:0.19.2, scikit-learn:0.20.3, scikit-learn:0.22.1, scikit-learn:0.23.2",
"{' lightgbm.Dataset', ' lightgbm.train', 'sklearn.preprocessing.LabelEncoder'}","memory baseline betterscore inconsistent","[lightgbm, scikit-learn]","1097:38, 1097:41, 1097:42, 1097:44, 1097:45","scikit-learn:0.21.3, scikit-learn:0.24.2, scikit-learn:1.0.1, scikit-learn:0.20.3",
"{' lightgbm.Dataset', ' lightgbm.train', 'sklearn.preprocessing.LabelEncoder'}","time baseline bettermemory baseline betterscore inconsistent","[lightgbm, scikit-learn]","1097:39, 1097:40, 1097:48, 1097:49","scikit-learn:0.22.1, scikit-learn:0.23.2, scikit-learn:0.24.2, scikit-learn:1.0.1",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","time baseline betterscore inconsistent","[lightgbm, scikit-learn]","1098:2, 1098:9, 1098:17, 1098:23, 1098:25, 1098:30, 1098:49","scikit-learn:1.0.1, scikit-learn:0.20.3, scikit-learn:0.21.3, scikit-learn:0.22.1",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","time variant betterscore inconsistent","[lightgbm, scikit-learn]","1098:3, 1098:5, 1098:8, 1098:11, 1098:12, 1098:29, 1098:33","scikit-learn:1.0.1, scikit-learn:0.19.2, scikit-learn:0.22.1, scikit-learn:0.23.2",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","time variant better","[lightgbm, scikit-learn]","1098:4, 1098:32","scikit-learn:1.0.1, scikit-learn:0.22.1",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","memory variant betterscore inconsistent","[lightgbm, scikit-learn]","1098:6, 1098:13, 1098:14","scikit-learn:1.0.1, scikit-learn:0.24.2",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","time baseline bettermemory variant better","[lightgbm, scikit-learn]","1098:7","scikit-learn:1.0.1",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","time baseline better","[lightgbm, scikit-learn]","1098:18, 1098:24, 1098:26","scikit-learn:0.22.1, scikit-learn:0.21.3, scikit-learn:0.23.2",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","score inconsistent","[lightgbm, scikit-learn]","1098:19, 1098:22, 1098:31, 1098:42","scikit-learn:0.23.2, scikit-learn:0.19.2, scikit-learn:0.21.3, scikit-learn:1.0.1",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","time baseline bettermemory variant betterscore inconsistent","[lightgbm, scikit-learn]","1098:20, 1098:21, 1098:27, 1098:28","scikit-learn:0.24.2, scikit-learn:1.0.1",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","memory variant better","[lightgbm, scikit-learn]","1098:34","scikit-learn:0.24.2",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","time variant bettermemory variant better","[lightgbm, scikit-learn]","1098:35","scikit-learn:1.0.1",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","time variant bettermemory baseline betterscore inconsistent","[lightgbm, scikit-learn]","1098:36, 1098:39, 1098:40, 1098:45, 1098:46, 1098:47","scikit-learn:0.19.2, scikit-learn:0.22.1, scikit-learn:0.23.2, scikit-learn:0.21.3",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","time baseline bettermemory baseline betterscore inconsistent","[lightgbm, scikit-learn]","1098:37, 1098:38, 1098:41, 1098:43, 1098:44","scikit-learn:0.20.3, scikit-learn:0.21.3, scikit-learn:0.24.2, scikit-learn:0.19.2",
"{'sklearn.metrics.roc_auc_score', ' sklearn.model_selection.StratifiedKFold', ' sklearn.preprocessing.LabelEncoder', ' lightgbm.LGBMClassifier'}","memory baseline betterscore inconsistent","[lightgbm, scikit-learn]","1098:48","scikit-learn:0.24.2",
"{' lightgbm.train', ' imblearn.over_sampling.SMOTE', 'lightgbm.Dataset'}","time baseline bettermemory baseline betterscore inconsistent","[imbalanced-learn, lightgbm]","1118:1, 1118:6, 1118:7, 1118:8, 1118:9, 1118:11, 1118:14","lightgbm:3.3.1, lightgbm:2.2.3, lightgbm:2.1.2, lightgbm:3.2.1, lightgbm:3.0.0",
"{'category_encoders.WOEEncoder', ' lightgbm.Dataset', ' lightgbm.train'}","time baseline bettermemory variant betterscore inconsistent","[category_encoders, lightgbm]","1118:1, 1118:2, 1118:3, 1118:4, 1118:6, 1118:7","lightgbm:3.3.1, lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:3.0.0, lightgbm:2.2.3, lightgbm:2.1.2",
"{' lightgbm.train', ' imblearn.over_sampling.SMOTE', 'lightgbm.Dataset'}","memory baseline betterscore inconsistent","[imbalanced-learn, lightgbm]","1118:2, 1118:3, 1118:4, 1118:10, 1118:13","lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:3.0.0, lightgbm:2.2.3",
"{' lightgbm.train', ' imblearn.over_sampling.SMOTE', 'lightgbm.Dataset'}","memory baseline better","[imbalanced-learn, lightgbm]","1118:5","lightgbm:2.3.1",
"{'category_encoders.WOEEncoder', ' lightgbm.Dataset', ' lightgbm.train'}","time baseline bettermemory variant better","[category_encoders, lightgbm]","1118:5","lightgbm:2.3.1",
"{'category_encoders.WOEEncoder', ' lightgbm.Dataset', ' lightgbm.train'}","time variant bettermemory baseline betterscore inconsistent","[category_encoders, lightgbm]","1118:8, 1118:9, 1118:10, 1118:11, 1118:13, 1118:14, 1118:15, 1118:16, 1118:17, 1118:18, 1118:20, 1118:21, 1118:23, 1118:25, 1118:27, 1118:28, 1118:29, 1118:30, 1118:31, 1118:32, 1118:35","lightgbm:3.3.1, lightgbm:3.2.1, lightgbm:3.1.1, lightgbm:3.0.0, lightgbm:2.2.3, lightgbm:2.1.2",
"{' lightgbm.train', ' imblearn.over_sampling.SMOTE', 'lightgbm.Dataset'}","time variant bettermemory baseline better","[imbalanced-learn, lightgbm]","1118:12","lightgbm:2.3.1",
"{'category_encoders.WOEEncoder', ' lightgbm.Dataset', ' lightgbm.train'}","time variant bettermemory baseline better","[category_encoders, lightgbm]","1118:12, 1118:19, 1118:26, 1118:33","lightgbm:2.3.1",
"{'category_encoders.WOEEncoder', ' lightgbm.Dataset', ' lightgbm.train'}","time variant betterscore inconsistent","[category_encoders, lightgbm]","1118:22, 1118:24","lightgbm:3.3.1, lightgbm:3.1.1",
"{'category_encoders.WOEEncoder', ' lightgbm.Dataset', ' lightgbm.train'}","memory baseline betterscore inconsistent","[category_encoders, lightgbm]","1118:34","lightgbm:2.2.3",
"{' sklearn.preprocessing.StandardScaler', 'numpy', ' sklearn.preprocessing.LabelEncoder', 'sklearn.decomposition.PCA'}","time variant bettermemory variant betterscore inconsistent","[numpy, scikit-learn]","1127:1, 1127:2, 1127:3, 1127:4, 1127:5, 1127:6, 1127:7","scikit-learn:1.0.1",
"{' lightgbm.Dataset', ' lightgbm.train', 'numpy'}","memory variant betterscore inconsistent","[lightgbm, numpy]","1127:1, 1127:4, 1127:7, 1127:10, 1127:13, 1127:16, 1465:12, 1465:15, 16744:1, 16744:4, 16744:7, 16744:10","numpy:1.19.5, numpy:1.17.4",
"{' sklearn.preprocessing.StandardScaler', 'numpy', ' sklearn.preprocessing.LabelEncoder', 'sklearn.decomposition.PCA'}","time baseline bettermemory variant betterscore inconsistent","[numpy, scikit-learn]","1127:2, 1127:4, 1127:5, 1127:6","scikit-learn:1.0.1",
"{' lightgbm.Dataset', ' lightgbm.train', 'numpy'}","time variant bettermemory baseline betterscore inconsistent","[lightgbm, numpy]","1127:2, 1127:14, 1127:17, 1465:20","numpy:1.19.5, numpy:1.18.5",
"{' sklearn.preprocessing.StandardScaler', 'numpy', ' sklearn.preprocessing.LabelEncoder', 'sklearn.decomposition.PCA'}","memory variant betterscore inconsistent","[numpy, scikit-learn]","1127:3, 1127:7","scikit-learn:1.0.1",
"{' lightgbm.Dataset', ' lightgbm.train', 'numpy'}","time variant bettermemory baseline better","[lightgbm, numpy]","1127:3","numpy:1.19.5",
"{' lightgbm.Dataset', ' lightgbm.train', 'numpy'}","memory baseline betterscore inconsistent","[lightgbm, numpy]","1127:5, 1127:8, 1127:11, 1127:15, 1127:18, 1127:20, 1127:21, 1465:17, 16744:2, 16744:3, 16744:5, 16744:6","numpy:1.19.5, numpy:1.18.5",
"{' lightgbm.Dataset', ' lightgbm.train', 'numpy'}","memory baseline better","[lightgbm, numpy]","1127:6, 1127:9, 1127:12","numpy:1.19.5",
"{' sklearn.preprocessing.StandardScaler', 'numpy', ' sklearn.preprocessing.LabelEncoder', 'sklearn.decomposition.PCA'}","memory baseline betterscore inconsistent","[numpy, scikit-learn]","1127:8","scikit-learn:1.0.1",
"{' sklearn.preprocessing.StandardScaler', 'numpy', ' sklearn.preprocessing.LabelEncoder', 'sklearn.decomposition.PCA'}","time variant bettermemory baseline betterscore inconsistent","[numpy, scikit-learn]","1127:8, 1127:9, 1127:10, 1127:11, 1127:12, 1127:13, 1127:14","scikit-learn:1.0.1",
"{' sklearn.preprocessing.StandardScaler', 'numpy', ' sklearn.preprocessing.LabelEncoder', 'sklearn.decomposition.PCA'}","time baseline bettermemory baseline betterscore inconsistent","[numpy, scikit-learn]","1127:9, 1127:10, 1127:11, 1127:12, 1127:13, 1127:14","scikit-learn:1.0.1",
"{' sklearn.preprocessing.StandardScaler', 'numpy', ' sklearn.preprocessing.LabelEncoder', 'sklearn.decomposition.PCA'}","time baseline bettermemory baseline better","[numpy, scikit-learn]","1127:15, 1127:16, 1127:17, 1127:18, 1127:20, 1127:21","scikit-learn:1.0.1",
"{' sklearn.preprocessing.StandardScaler', 'numpy', ' sklearn.preprocessing.LabelEncoder', 'sklearn.decomposition.PCA'}","time variant bettermemory baseline better","[numpy, scikit-learn]","1127:15, 1127:16, 1127:17, 1127:18, 1127:19, 1127:20, 1127:21","scikit-learn:1.0.1",
"{' sklearn.preprocessing.StandardScaler', 'numpy', ' sklearn.preprocessing.LabelEncoder', 'sklearn.decomposition.PCA'}","memory baseline better","[numpy, scikit-learn]","1127:19","scikit-learn:1.0.1",
"{' lightgbm.Dataset', ' lightgbm.train', 'numpy'}","time variant bettermemory variant betterscore inconsistent","[lightgbm, numpy]","1127:19, 1465:18","numpy:1.17.4, numpy:1.19.5",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","time baseline bettermemory variant better","[lightgbm, xgboost]","1165:2, 1165:3, 1165:4, 1165:5, 1165:6, 1165:12","xgboost:1.4.2, xgboost:1.3.3, xgboost:1.2.1, xgboost:1.1.1, xgboost:1.0.2",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","time baseline bettermemory variant betterscore inconsistent","[lightgbm, xgboost]","1165:7, 1165:14","xgboost:0.90",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","time variant bettermemory variant better","[lightgbm, xgboost]","1165:8","xgboost:1.5.1",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","memory variant better","[lightgbm, xgboost]","1165:9, 1165:41, 1165:47","xgboost:1.4.2, xgboost:1.0.2, xgboost:1.1.1",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","time baseline bettermemory baseline better","[lightgbm, xgboost]","1165:13","xgboost:1.0.2",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","memory baseline better","[lightgbm, xgboost]","1165:15, 1165:20, 1165:26, 1165:27, 1165:34, 1165:39, 1165:40, 1165:48","xgboost:1.5.1, xgboost:1.0.2, xgboost:1.1.1, xgboost:1.2.1",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","time variant better","[lightgbm, xgboost]","1165:16, 1165:18, 1165:23, 1165:24, 1165:29, 1165:30, 1165:31, 1165:32, 1165:36, 1165:37, 1165:43, 1165:44","xgboost:1.4.2, xgboost:1.2.1, xgboost:1.3.3, xgboost:1.5.1",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","time variant bettermemory baseline better","[lightgbm, xgboost]","1165:17, 1165:22, 1165:25, 1165:38, 1165:45, 1165:46","xgboost:1.3.3, xgboost:1.5.1, xgboost:1.2.1",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","memory baseline betterscore inconsistent","[lightgbm, xgboost]","1165:21, 1165:35, 1165:42","xgboost:0.90",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","score inconsistent","[lightgbm, xgboost]","1165:28","xgboost:0.90",
"{'lightgbm.train', ' xgboost.XGBClassifier'}","memory variant betterscore inconsistent","[lightgbm, xgboost]","1165:49","xgboost:0.90",
"{' lightgbm.train', ' lightgbm.Dataset', ' lightgbm.LGBMClassifier', 'sklearn.model_selection.TimeSeriesSplit', ' sklearn.preprocessing.LabelEncoder'}","time variant betterscore inconsistent","[lightgbm, scikit-learn]","1205:2, 1205:31, 1205:35, 1205:42","scikit-learn:1.0.1, scikit-learn:0.21.3",
